City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Bagaha,IN,82.13,scattered clouds,27.1,84.0833,Hotel The Royal Residency
320,Atikokan,CA,81.84,broken clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
325,Nago,JP,86.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
328,Kalianget,ID,77.79,broken clouds,-7.05,113.9333,Pesanggrahan Garam
329,Kijang,KR,82.13,scattered clouds,35.2442,129.2139,Samyang Beach Villa
334,Vanimo,PG,77.49,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
339,Benicarlo,ES,75.9,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
342,Coahuayana,MX,88.05,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
343,Sur,OM,83.48,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
345,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
346,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
347,Suez,EG,75.25,clear sky,29.9737,32.5263,Green House
349,Ha Giang,VN,76.84,broken clouds,22.8333,104.9833,Truong Xuan Resort
351,San Lawrenz,MT,77.22,clear sky,36.0553,14.204,San Andrea Hotel
358,Pa Sang,TH,79.86,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
360,Ocos,GT,87.98,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
362,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
364,Lianzhou,CN,78.37,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
367,Tuy Hoa,VN,76.78,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
371,Alugan,PH,78.98,overcast clouds,12.2188,125.4808,JM Lodge
372,Vaitape,PF,77.94,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
374,Katsuura,JP,75.43,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
375,Lewistown,US,83.14,scattered clouds,40.5992,-77.5714,Quality Inn & Suites
376,Asyut,EG,85.86,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
377,Mongo,TD,81.1,few clouds,12.1844,18.693,Résidences du Programme FIDA
381,Rock Springs,US,89.04,few clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
385,Nixa,US,84.25,broken clouds,37.0434,-93.2944,Super 8 by Wyndham Nixa/Springfield Area
392,Syracuse,IT,76.59,clear sky,37.0881,15.2792,Hotel Posta
396,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
402,Itoman,JP,86.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
405,Sabang,ID,82.72,overcast clouds,5.8933,95.3214,Hotel Citra
410,Guerrero Negro,MX,75.61,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
411,Waingapu,ID,75.96,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
415,Fez,MA,80.85,clear sky,34.0372,-4.9998,Hotel Mounia Fès
416,Hidrolandia,BR,76.8,overcast clouds,-4.4081,-40.4378,Pousada Rei De Carneiro
417,Panaba,MX,88.05,broken clouds,21.2833,-88.2667,Hotel Don Fernando
420,Tahta,EG,85.26,scattered clouds,26.7693,31.5021,فندق الزيات
